Sr.no ,Countries ,2010,2011,2012,2013,2014,2015,2016
1,Afghanistan,31.00,32.00,44.00,36.00,38.00,38.00,35.00
2,Armenia,99.00,100.00,100.00,87.00,98.00,83.00,100.00
3,Azerbaijan,99.00,100.00,100.00,100.00,100.00,100.00,100.00
4,Bahrain,94.00,92.00,91.00,92.00,96.00,100.00,94.00
5,Bangladesh,58.00,51.00,58.00,61.00,61.00,65.00,94.00
6,Bhutan,60.00,47.00,64.00,67.00,67.00,64.00,67.00
7,Brunei,96.00,96.00,94.00,86.00,95.00,97.00,98.00
8,Cambodia,76.00,72.00,74.00,80.00,78.00,81.00,63.00
9,China,95.00,90.00,84.00,84.00,96.00,96.00,97.00
10,Cyprus,99.00,99.00,98.00,99.00,80.00,99.00,99.00
11,Georgia,99.00,74.00,NA,99.00,100.00,NA,100.00
12,India,74.00,73.00,NA,74.00,69.00,74.00,72.00
13,Indonesia,91.00,93.00,94.00,96.00,95.00,95.00,95.00
14,Iran,86.00,92.00,84.00,85.00,85.00,87.00,86.00
15,Iraq,80.00,77.00,77.00,72.00,82.00,82.00,83.00
16,Israel,98.00,98.00,99.00,97.00,98.00,97.00,98.00
17,Japan,100.00,99.00,99.00,99.00,98.00,99.00,86.00
18,Jordan,96.00,96.00,98.00,99.00,69.00,98.00,62.00
19,Kazakhstan,99.00,100.00,100.00,99.00,86.00,100.00,86.00
